iter	Passed	Remaining
618	69023	377008
619	69185	377175
620	69381	377521
621	69503	377466
622	69702	377822
623	69853	377927
624	70031	378169
625	70127	377970
626	70301	378191
627	70453	378294
628	70615	378449
629	70755	378484
630	70895	378520
631	71063	378705
632	71196	378701
633	71335	378732
634	71509	378942
635	71673	379103
636	71802	379076
637	72023	379533
638	72188	379695
639	72309	379626
640	72524	380045
641	72640	379950
642	72837	380270
643	72973	380279
644	73103	380249
645	73197	380037
646	73384	380307
647	73496	380187
648	73650	380281
649	73771	380205
650	73897	380160
651	73985	379912
652	74112	379868
653	74235	379803
654	74310	379492
655	74454	379536
656	74595	379563
657	74681	379308
658	74814	379296
659	74946	379274
660	75050	379110
661	75117	378762
662	75203	378514
663	75349	378560
664	75497	378623
665	75642	378666
666	75827	378908
667	75952	378851
668	76063	378723
669	76155	378506
670	76297	378530
671	76403	378380
672	76491	378140
673	76612	378060
674	76753	378082
675	76890	378082
676	77009	377997
677	77084	377690
678	77213	377651
679	77309	377450
680	77415	377301
681	77541	377248
682	77645	377084
683	77739	376877
684	77831	376661
685	77953	376584
686	78053	376406
687	78128	376107
688	78273	376144
689	78361	375908
690	78457	375710
691	78590	375690
692	78651	375323
693	78767	375222
694	78944	375413
695	79062	375319
696	79198	375312
697	79300	375141
698	79455	375223
699	79576	375144
700	79724	375196
701	79819	374991
702	79890	374677
703	80037	374719
704	80164	374671
705	80297	374644
706	80378	374379
707	80478	374200
708	80597	374112
709	80694	373922
710	80807	373804
711	80910	373643
712	81032	373568
713	81125	373357
714	81197	373054
715	81307	372924
716	81403	372731
717	81490	372494
718	81639	372545
719	81732	372335
720	81836	372181
721	81958	372105
722	82060	371938
723	82143	371690
724	82261	371594
725	82374	371477
726	82502	371432
727	82607	371282
728	82776	371415
729	82908	371385
730	83099	371617
731	83229	371575
732	83427	371839
733	83566	371835
734	83770	372125
735	83996	372504
736	84177	372689
737	84336	372771
738	84489	372830
739	84664	372979
740	84833	373107
741	84953	373017
742	85086	372982
743	85169	372731
744	85329	372815
745	85445	372708
746	85523	372434
747	85627	372274
748	85722	372072
749	85799	371797
750	85896	371608
751	86021	371538
752	86154	371505
753	86234	371240
754	86360	371180
755	86489	371126
756	86602	371006
757	86698	370814
758	86787	370590
759	86882	370395
760	86990	370254
761	87089	370071
762	87157	369761
763	87288	369720
764	87394	369570
765	87504	369440
766	87608	369280
767	87720	369156
768	87819	368980
769	87931	368853
770	88030	368676
771	88142	368555
772	88236	368357
773	88340	368199
774	88459	368106
775	88540	367853
776	88637	367670
777	88716	367407
778	88801	367175
779	88905	367020
780	89031	366957
781	89115	366719
782	89211	366529
783	89318	366386
784	89389	366097
785	89521	366057
786	89628	365916
787	89693	365605
788	89845	365644
789	89973	365588
790	90044	365299
791	90145	365134
792	90219	364858
793	90384	364952
794	90448	364637
795	90562	364523
796	90656	364334
797	90755	364160
798	90818	363842
799	90922	363688
800	90998	363426
801	91085	363207
802	91217	363166
803	91319	363004
804	91440	362921
805	91531	362718
806	91601	362432
807	91700	362263
808	91926	362594
809	92047	362506
810	92136	362299
811	92259	362220
812	92480	362527
813	92695	362810
814	92860	362897
815	93073	363169
816	93278	363408
817	93410	363362
818	93475	363057
819	93607	363013
820	93672	362709
821	93761	362500
822	93890	362443
823	93986	362257
824	94108	362173
825	94230	362092
826	94438	362338
827	94575	362311
828	94707	362266
829	94823	362158
830	94936	362038
831	95015	361788
832	95123	361653
833	95226	361493
834	95351	361420
835	95430	361175
836	95544	361060
837	95686	361049
838	95843	361099
839	96000	361145
840	96114	361029
841	96223	360895
842	96381	360942
843	96497	360837
844	96578	360599
845	96637	360277
846	96721	360051
847	96824	359893
848	96938	359778
849	97064	359709
850	97177	359591
851	97313	359557
852	97425	359436
853	97501	359178
854	97643	359167
855	97753	359038
856	97842	358832
857	97986	358826
858	98066	358588
859	98173	358447
860	98296	358365
861	98402	358220
862	98476	357962
863	98628	357984
864	98744	357878
865	98810	357587
866	98963	357614
867	99062	357445
868	99183	357356
869	99298	357245
870	99434	357210
871	99523	357007
872	99622	356838
873	99730	356702
874	99831	356540
875	99948	356438
876	100061	356320
877	100142	356086
878	100282	356064
879	100360	355823
880	100477	355719
881	100619	355705
882	100694	355452
883	100798	355301
884	100916	355202
885	101046	355146
886	101162	355039
887	101276	354924
888	101386	354796
889	101475	354594
890	101607	354543
891	101732	354468
892	101813	354236
893	101939	354164
894	102077	354134
895	102170	353946
896	102268	353778
897	102384	353671
898	102507	353589
899	102659	353603
900	102739	353374
901	102817	353134
902	102944	353068
903	103047	352915
904	103156	352785
905	103280	352704
906	103406	352629
907	103510	352483
908	103637	352411
909	103769	352361
910	103897	352294
911	103982	352081
912	104072	351884
913	104175	351735
914	104277	351579
915	104381	351432
916	104476	351256
917	104562	351048
918	104654	350860
919	104794	350833
920	104912	350731
921	105001	350536
922	105102	350379
923	105240	350344
924	105352	350224
925	105478	350152
926	105544	349878
927	105603	349585
928	105728	349507
929	105823	349330
930	105930	349196
931	106018	348997
932	106106	348796
933	106177	348543
934	106263	348339
935	106362	348179
936	106498	348137
937	106587	347943
938	106687	347784
939	106853	347842
940	106940	347642
941	107005	347369
942	107119	347258
943	107205	347053
944	107310	346914
945	107401	346726
946	107470	346469
947	107569	346310
948	107693	346232
949	107798	346088
950	107945	346085
951	108059	345972
952	108158	345813
953	108280	345725
954	108425	345712
955	108510	345506
956	108606	345339
957	108711	345197
958	108780	344945
959	108883	344797
960	109006	344715
961	109130	344633
962	109267	344595
963	109367	344440
964	109472	344298
965	109644	344369
966	109769	344291
967	109873	344149
968	110002	344083
969	110101	343924
970	110190	343735
971	110339	343732
972	110432	343554
973	110535	343408
974	110669	343358
975	110794	343281
976	110855	343005
977	110966	342883
978	111062	342716
979	111170	342587
980	111292	342499
981	111372	342283
982	111499	342212
983	111613	342099
984	111713	341944
985	111811	341784
986	111920	341658
987	112040	341563
988	112180	341532
989	112291	341411
990	112400	341283
991	112515	341175
992	112622	341043
993	112720	340883
994	112821	340731
995	112958	340689
996	113069	340568
997	113199	340506
998	113322	340420
999	113408	340226
1000	113506	340065
1001	113671	340107
1002	113799	340037
1003	113868	339790
1004	114001	339736
1005	114063	339468
1006	114167	339329
1007	114282	339220
1008	114391	339091
1009	114499	338963
1010	114600	338813
1011	114703	338669
1012	114900	338802
1013	114993	338631
1014	115063	338389
1015	115191	338319
1016	115351	338342
1017	115429	338125
1018	115528	337969
1019	115693	338007
1020	115765	337773
1021	115877	337654
1022	116007	337590
1023	116109	337444
1024	116190	337235
1025	116296	337100
1026	116433	337056
1027	116580	337038
1028	116641	336775
1029	116727	336581
1030	116816	336400
1031	116956	336362
1032	117073	336261
1033	117175	336113
1034	117256	335909
1035	117386	335842
1036	117504	335744
1037	117577	335515
1038	117705	335444
1039	117803	335287
1040	117936	335229
1041	118073	335182
1042	118201	335111
1043	118305	334970
1044	118427	334883
1045	118544	334781
1046	118656	334664
1047	118772	334558
1048	118852	334351
1049	118936	334154
1050	119055	334056
1051	119204	334045
1052	119300	333882
1053	119379	333674
1054	119472	333504
1055	119613	333467
1056	119716	333327
1057	119826	333202
1058	119907	333001
1059	120034	332926
1060	120136	332780
1061	120232	332619
1062	120361	332551
1063	120464	332409
1064	120590	332331
1065	120707	332229
1066	120767	331970
1067	120894	331894
1068	120966	331666
1069	121065	331515
1070	121148	331318
1071	121210	331067
1072	121307	330911
1073	121445	330865
1074	121567	330777
1075	121704	330729
1076	121810	330595
1077	121909	330445
1078	122035	330366
1079	122162	330290
1080	122255	330123
1081	122354	329972
1082	122485	329907
1083	122593	329780
1084	122741	329762
1085	122864	329675
1086	122957	329509
1087	123079	329417
1088	123182	329279
1089	123302	329183
1090	123379	328973
1091	123533	328969
1092	123616	328776
1093	123760	328745
1094	123908	328725
1095	123989	328527
1096	124111	328436
1097	124236	328355
1098	124356	328261
1099	124477	328168
1100	124540	327921
1101	124642	327781
1102	124733	327610
1103	124823	327434
1104	124904	327239
1105	125041	327187
1106	125161	327093
1107	125325	327113
1108	125432	326984
1109	125506	326768
1110	125620	326657
1111	125713	326493
1112	125841	326418
1113	125937	326261
1114	126035	326109
1115	126173	326060
1116	126293	325967
1117	126439	325936
1118	126527	325760
1119	126631	325624
1120	126756	325541
1121	126857	325397
1122	126979	325307
1123	127097	325205
1124	127208	325089
1125	127308	324940
1126	127455	324916
1127	127549	324754
1128	127631	324561
1129	127758	324483
1130	127856	324332
1131	127976	324237
1132	128097	324145
1133	128219	324054
1134	128324	323919
1135	128437	323808
1136	128546	323684
1137	128679	323621
1138	128791	323504
1139	128914	323416
1140	129010	323262
1141	129097	323083
1142	129217	322986
1143	129308	322818
1144	129410	322678
1145	129558	322652
1146	129661	322515
1147	129755	322353
1148	129904	322329
1149	130001	322178
1150	130168	322197
1151	130265	322044
1152	130365	321898
1153	130485	321804
1154	130609	321718
1155	130713	321582
1156	130838	321499
1157	130964	321417
1158	131076	321301
1159	131181	321167
1160	131281	321024
1161	131395	320912
1162	131518	320822
1163	131644	320740
1164	131760	320635
1165	131834	320427
1166	131968	320365
1167	132070	320225
1168	132209	320174
1169	132342	320111
1170	132465	320020
1171	132568	319883
1172	132673	319751
1173	132817	319712
1174	132900	319526
1175	133017	319422
1176	133131	319312
1177	133262	319242
1178	133390	319164
1179	133519	319090
1180	133664	319052
1181	133774	318930
1182	133875	318790
1183	133970	318632
1184	134075	318499
1185	134202	318418
1186	134327	318334
1187	134402	318131
1188	134507	317999
1189	134652	317962
1190	134753	317819
1191	134881	317740
1192	134961	317550
1193	135062	317408
1194	135187	317323
1195	135287	317178
1196	135399	317062
1197	135533	316999
1198	135635	316860
1199	135751	316753
1200	135874	316663
1201	135957	316480
1202	136054	316328
1203	136176	316237
1204	136278	316098
1205	136405	316018
1206	136525	315919
1207	136600	315718
1208	136726	315636
1209	136830	315501
1210	136954	315412
1211	137088	315348
1212	137208	315251
1213	137313	315120
1214	137413	314976
1215	137555	314929
1216	137637	314745
1217	137753	314639
1218	137889	314579
1219	138003	314466
1220	138123	314369
1221	138250	314287
1222	138332	314104
1223	138455	314013
1224	138599	313969
1225	138703	313836
1226	138814	313717
1227	138934	313621
1228	139064	313546
1229	139183	313446
1230	139296	313331
1231	139432	313271
1232	139567	313205
1233	139685	313104
1234	139816	313031
1235	139917	312889
1236	140025	312766
1237	140192	312770
1238	140270	312579
1239	140383	312466
1240	140492	312343
1241	140578	312169
1242	140719	312119
1243	140818	311974
1244	140912	311819
1245	141040	311737
1246	141120	311551
1247	141231	311434
1248	141333	311296
1249	141427	311139
1250	141499	310937
1251	141624	310850
1252	141745	310754
1253	141878	310683
1254	141984	310554
1255	142067	310375
1256	142192	310289
1257	142307	310181
1258	142429	310086
1259	142529	309945
1260	142639	309825
1261	142766	309742
1262	142918	309713
1263	143040	309618
1264	143149	309497
1265	143285	309433
1266	143429	309387
1267	143533	309252
1268	143643	309134
1269	143738	308981
1270	143857	308880
1271	143985	308798
1272	144121	308734
1273	144259	308674
1274	144398	308615
1275	144511	308502
1276	144612	308363
1277	144736	308273
1278	144869	308202
1279	145016	308159
1280	145161	308114
1281	145264	307978
1282	145375	307860
1283	145508	307789
1284	145622	307677
1285	145733	307558
1286	145860	307474
1287	145947	307304
1288	146049	307169
1289	146207	307148
1290	146320	307035
1291	146459	306974
1292	146592	306903
1293	146717	306813
1294	146819	306677
1295	146929	306556
1296	147058	306476
1297	147178	306376
1298	147277	306231
1299	147373	306083
1300	147498	305993
1301	147580	305815
1302	147691	305697
1303	147832	305642
1304	147935	305505
1305	148066	305429
1306	148181	305319
1307	148296	305209
1308	148402	305080
1309	148507	304950
1310	148633	304863
1311	148762	304782
1312	148871	304659
1313	148997	304571
1314	149130	304499
1315	149221	304338
1316	149338	304233
1317	149446	304109
1318	149528	303931
1319	149652	303840
1320	149797	303789
1321	149921	303697
1322	150021	303557
1323	150112	303400
1324	150249	303334
1325	150353	303201
1326	150485	303125
1327	150591	302996
1328	150711	302897
1329	150790	302715
1330	150885	302565
1331	151016	302486
1332	151120	302354
1333	151282	302339
1334	151404	302242
1335	151521	302135
1336	151634	302021
1337	151755	301923
1338	151874	301821
1339	151999	301730
1340	152103	301597
1341	152223	301497
1342	152346	301403
1343	152463	301296
1344	152592	301213
1345	152662	301014
1346	152807	300963
1347	152878	300767
1348	152980	300630
1349	153111	300552
1350	153211	300413
1351	153325	300300
1352	153443	300196
1353	153549	300068
1354	153681	299990
1355	153820	299927
1356	153941	299827
1357	154048	299702
1358	154162	299589
1359	154282	299488
1360	154417	299417
1361	154546	299335
1362	154650	299203
1363	154766	299093
1364	154875	298972
1365	155069	299013
1366	155181	298897
1367	155285	298766
1368	155407	298668
1369	155566	298641
1370	155667	298505
1371	155778	298387
1372	155897	298283
1373	156038	298221
1374	156157	298119
1375	156286	298034
1376	156389	297900
1377	156472	297729
1378	156614	297670
1379	156713	297527
1380	156816	297395
1381	156937	297295
1382	157071	297221
1383	157211	297156
1384	157350	297090
1385	157469	296988
1386	157614	296933
1387	157713	296791
1388	157811	296648
1389	157936	296557
1390	158036	296418
1391	158184	296368
1392	158287	296235
1393	158394	296109
1394	158515	296009
1395	158673	295977
1396	158786	295863
1397	158896	295742
1398	159006	295621
1399	159119	295507
1400	159228	295385
1401	159342	295272
1402	159456	295158
1403	159588	295080
1404	159708	294977
1405	159843	294903
1406	160005	294878
1407	160138	294799
1408	160263	294706
1409	160404	294643
1410	160521	294535
1411	160587	294335
1412	160725	294265
1413	160831	294137
1414	160966	294062
1415	161081	293950
1416	161194	293835
1417	161284	293678
1418	161383	293538
1419	161527	293478
1420	161623	293334
1421	161729	293205
1422	161851	293106
1423	161973	293008
1424	162073	292870
1425	162199	292778
1426	162336	292705
1427	162460	292611
1428	162562	292476
1429	162660	292333
1430	162806	292277
1431	162918	292160
1432	163019	292024
1433	163145	291933
1434	163266	291832
1435	163407	291767
1436	163527	291664
1437	163622	291516
1438	163721	291376
1439	163818	291232
1440	163914	291086
1441	164015	290951
1442	164134	290846
1443	164200	290648
1444	164301	290512
1445	164403	290378
1446	164535	290296
1447	164670	290219
1448	164775	290090
1449	164849	289908
1450	165003	289865
1451	165107	289734
1452	165214	289608
1453	165341	289519
1454	165471	289432
1455	165594	289334
1456	165727	289254
1457	165839	289138
1458	165964	289044
1459	166086	288945
1460	166191	288815
1461	166306	288704
1462	166426	288601
1463	166549	288503
1464	166683	288424
1465	166781	288283
1466	166905	288188
1467	167029	288092
1468	167159	288005
1469	167259	287867
1470	167357	287727
1471	167479	287628
1472	167551	287441
1473	167670	287337
1474	167793	287239
1475	167892	287101
1476	167991	286962
1477	168126	286884
1478	168271	286823
1479	168373	286689
1480	168474	286554
1481	168594	286452
1482	168726	286368
1483	168838	286251
1484	168950	286135
1485	169063	286019
1486	169195	285937
1487	169314	285832
1488	169417	285700
1489	169539	285600
1490	169671	285516
1491	169795	285420
1492	169915	285316
1493	170062	285259
1494	170181	285152
1495	170310	285065
1496	170433	284967
1497	170572	284894
1498	170693	284792
1499	170814	284690
1500	170938	284594
1501	171053	284482
1502	171187	284400
1503	171276	284246
1504	171399	284146
1505	171538	284074
1506	171672	283994
1507	171783	283875
1508	171936	283825
1509	172038	283692
1510	172134	283549
1511	172239	283420
1512	172352	283304
1513	172473	283202
1514	172599	283108
1515	172718	283003
1516	172820	282868
1517	172990	282846
1518	173088	282707
1519	173201	282591
1520	173322	282489
1521	173467	282425
1522	173580	282309
1523	173695	282197
1524	173810	282086
1525	173912	281953
1526	174068	281907
1527	174168	281769
1528	174277	281648
1529	174403	281554
1530	174531	281461
1531	174633	281328
1532	174731	281188
1533	174854	281088
1534	174997	281022
1535	175129	280936
1536	175230	280801
1537	175379	280744
1538	175482	280611
1539	175620	280537
1540	175729	280414
1541	175836	280289
1542	175956	280184
1543	176079	280085
1544	176199	279979
1545	176313	279865
1546	176432	279759
1547	176571	279685
1548	176682	279566
1549	176801	279460
1550	176879	279289
1551	176981	279156
1552	177115	279074
1553	177223	278950
1554	177338	278838
1555	177451	278721
1556	177566	278610
1557	177703	278531
1558	177831	278438
1559	177931	278302
1560	178030	278165
1561	178161	278077
1562	178266	277950
1563	178365	277812
1564	178493	277720
1565	178613	277615
1566	178750	277537
1567	178870	277431
1568	178971	277297
1569	179081	277177
1570	179210	277086
1571	179317	276960
1572	179427	276840
1573	179574	276777
1574	179673	276640
1575	179803	276551
1576	179915	276433
1577	180040	276335
1578	180152	276217
1579	180269	276109
1580	180410	276035
1581	180534	275937
1582	180639	275808
1583	180702	275616
1584	180846	275549
1585	180949	275416
1586	181052	275286
1587	181174	275184
1588	181314	275109
1589	181434	275004
1590	181540	274877
1591	181654	274763
1592	181762	274639
1593	181877	274527
1594	181984	274402
1595	182104	274297
1596	182238	274213
1597	182338	274078
1598	182426	273925
1599	182570	273855
1600	182668	273717
1601	182766	273579
1602	182889	273477
1603	183007	273369
1604	183116	273249
1605	183234	273140
1606	183355	273036
1607	183492	272955
1608	183620	272862
1609	183698	272694
1610	183794	272554
1611	183888	272411
1612	184016	272317
1613	184138	272215
1614	184250	272097
1615	184374	271997
1616	184501	271903
1617	184643	271830
1618	184743	271695
1619	184867	271595
1620	185030	271552
1621	185160	271461
1622	185277	271351
1623	185405	271258
1624	185508	271127
1625	185607	270991
1626	185735	270897
1627	185860	270799
1628	185966	270673
1629	186089	270572
1630	186204	270458
1631	186312	270335
1632	186399	270182
1633	186496	270042
1634	186634	269963
1635	186739	269836
1636	186810	269660
1637	186940	269568
1638	187043	269437
1639	187146	269308
1640	187236	269159
1641	187345	269037
1642	187467	268936
1643	187581	268821
1644	187703	268718
1645	187832	268626
1646	187937	268498
1647	188054	268389
1648	188158	268259
1649	188325	268220
1650	188439	268106
1651	188552	267991
1652	188666	267876
1653	188796	267784
1654	188927	267694
1655	189054	267599
1656	189167	267483
1657	189229	267294
1658	189357	267200
1659	189459	267069
1660	189528	266891
1661	189685	266838
1662	189785	266704
